categorie|tag TEI-Med|tag TEI-XML
abbr|us|<expan corresp="#ab-tild-ap"><ex>us</ex></expan>
abbr|os|<expan corresp="#ab-tild-ap"><ex>os</ex></expan>
abbr|es|<expan corresp="#ab-tild-ap"><ex>es</ex></expan>
abbr|s|<expan corresp="#ab-tild-ap"><ex>s</ex></expan>
abbr|ur|<expan corresp="#ab-tild-curb"><ex>ur</ex></expan>
abbr|or|<expan corresp="#ab-tild-curb"><ex>or</ex></expan>
abbr|our|<expan corresp="#ab-tild-curb"><ex>our</ex></expan>
abbr|r|<expan corresp="#ab-tild-ang-hor"><ex>r</ex></expan>
abbr|er|<expan corresp="#ab-tild-ang-hor"><ex>er</ex></expan>
abbr|ier|<expan corresp="#ab-tild-ang-hor"><ex>ier</ex></expan>
abbr|re|<expan corresp="#ab-tild-ang-hor"><ex>re</ex></expan>
abbr|r1|<expan corresp="#ab-tild-ang-ver"><ex>r</ex></expan>
abbr|er1|<expan corresp="#ab-tild-ang-ver"><ex>er</ex></expan>
abbr|ier1|<expan corresp="#ab-tild-ang-ver"><ex>ier</ex></expan>
abbr|re1|<expan corresp="#ab-tild-ang-ver"><ex>re</ex></expan>
abbr|u|<expan corresp="#ab-tild-ang-ver"><ex>u</ex></expan>
abbr|e|<expan corresp="#ab-tild-ang-ver"><ex>e</ex></expan>
abbr|ue|<expan corresp="#ab-tild-ang-ver"><ex>ue</ex></expan>
abbr|quar|<expan corresp="#ab-tild-ang-q">q<ex>uar</ex></expan>
abbr|qua|<expan corresp="#ab-tild-ang-q">q<ex>ua</ex></expan>
abbr|qual|<w ana="#elis"><expan corresp="#ab-tild-ang-q">q<ex>u</ex></expan></w><w><expan><ex>a</ex>l</expan></w>
abbr|cr|<expan corresp="#ab-tild-ang-cp">c<ex>ri</ex>p</expan>
abbr|cri|<expan corresp="#ab-tild-ang-cp">c<ex>ri</ex></expan>

abbr|per|<expan corresp="#ab-lm-pbarr-d">p<ex>er</ex></expan>
abbr|Per|<expan corresp="#ab-lm-pbarr-d">P<ex>er</ex></expan>
abbr|par|<expan corresp="#ab-lm-pbarr-d">p<ex>ar</ex></expan>
abbr|Par|<expan corresp="#ab-lm-pbarr-d">P<ex>ar</ex></expan>
abbr|por|<expan corresp="#ab-lm-pbarr-d">p<ex>or</ex></expan>
abbr|Por|<expan corresp="#ab-lm-pbarr-d">P<ex>or</ex></expan>
abbr|pro|<expan corresp="#ab-lm-pbarr-c">p<ex>ro</ex></expan>
abbr|Pro|<expan corresp="#ab-lm-pbarr-c">P<ex>ro</ex></expan>
abbr|qui|<expan corresp="#ab-lm-qbarr-d">q<ex>ui</ex></expan>
abbr|quil|<w ana="#elis"><expan corresp="#ab-lm-qbarr-d">q<ex>u</ex></expan></w><w><expan><ex>i</ex>l</expan></w>
abbr|quo|<expan corresp="#ab-lm-qbarr-c">q<ex>uo</ex></expan>
abbr|de|<expan corresp="#ab-lm-dbarr">d<ex>e</ex></expan>
abbr|dé|<expan corresp="#ab-lm-dbarr">d<ex><c ana="e-ton">e</c></ex></expan>
abbr|le|<expan corresp="#ab-lm-lbarr">l<ex>e</ex></expan>
abbr|ul|<expan corresp="#ab-lm-lbarr"><ex>u</ex>l</expan>
abbr|ser|<expan corresp="#ab-lm-sbarr">s<ex>er</ex></expan>

gen|del-ex|<del rend="exp">$</del>
gen|del-er|<del rend="eras">$</del>
gen|del-cr|<del rend="cross">$</del>
gen|del-ca|<del rend="canc">$</del>
gen|del-tr|<del rend="transf">$</del>

gen|add-inl|<add place="inl">$</add>
gen|add-int|<add place="interl">$</add>
gen|add-m|<add place="marg">$</add>
gen|add-m-2|<add place="marg"><w>$</w><w>$</w></add>
gen|add-m-2+|<add place="marg"><w ana="#aggl-s">$</w><w>$</w></add>
gen|add-sup|<add place="sup">$</add>
gen|add-int2|<add place="interl" hand="#2hd">$</add>
gen|add-inl2|<add place="inl" hand="#2hd">$</add>

gen|sub-ex-inl|<subst><del rend="exp">$</del><add place="inl">$</add></subst>
gen|sub-ex-int|<subst><del rend="exp">$</del><add place="interl">$</add></subst>
gen|sub-ex-int-2|<subst><del rend="exp" hand="#2hd">$</del><add place="interl" hand="#2hd">$</add></subst>
gen|sub-tr-sup|<subst><del rend="transf">$</del><add place="sup">$</add></subst>
gen|sub-cr-int|<subst><del rend="cross">$</del><add place="interl">$</add></subst>
gen|sub-cr-inl|<subst><del rend="cross">$</del><add place="inl">$</add></subst>
gen|sub-er-sup|<subst><del rend="eras">$</del><add place="sup">$</add></subst>
gen|sub-er-int|<subst><del rend="eras">$</del><add place="interl">$</add></subst>

gen|app1|<app resp="#1hd"><rdg varSeq="1"><w>$</w></rdg><rdg varSeq="2"><w>$</w></rdg><rdg varSeq="3"><w>$</w></rdg></app>

mod|.|<pc resp="#ed">.</pc>
mod|,|<pc resp="#ed">,</pc>
mod|;|<pc resp="#ed">;</pc>
mod|:|<pc resp="#ed">:</pc>
mod|?|<pc resp="#ed">?</pc>
mod|!|<pc resp="#ed">!</pc>

mod|é|<c ana="#e-ton">e</c>

mod|~i|<c ana="#hiat">i</c>
mod|~u|<c ana="#hiat">u</c>
mod|~e|<c ana="#hiat">e</c>
mod|~o|<c ana="#hiat">o</c>

mod|`c|<c ana="#affr">c</c>

mod|`ç|<c ana="#ced-dipl">ç</c>
mod|à|<c ana= "#diacr-desamb">a</c>
mod|ù|<c ana= "#diacr-desamb">u</c>
mod|ò|<c ana= "#diacr-desamb">o</c>
mod|è|<c ana="#diacr-desamb">e</c>
mod|À|<c ana="#diacr-desamb">A</c>

mod|*V|<c ana="#lram-c">V</c>
mod|*J|<c ana="#lram-c">J</c>
mod|*u|<c ana="#lram-c">u</c>
mod|*i|<c ana="#lram-c">i</c>
mod|^V|<c ana="#lram-v">V</c>
mod|^J|<c ana="#lram-v">J</c>
mod|^v|<c ana="#lram-v">v</c>
mod|^j|<c ana="#lram-v">j</c>

corr|sic|<sic>$</sic>
corr|corr|<choice><sic>$</sic><corr>$</corr></choice>
corr|corr-ditt|<choice><sic ana="#ditt">$</sic><corr>$</corr></choice>
corr|corr-hapl|<choice><sic ana="#hapl">$</sic><corr>$</corr></choice>
